customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,tenure,average_monthly,phone_services_description,internet_services_description,contact_type_description,tenure_month,service_types,tenure_years,Auto or Non-Auto
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,9.044207317,65.52114676,One Line,DSL,1 Year,9,Phone and Internet,< 1 year,Non-Auto
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,9.05509182,142.7215952,Two or More Lines,DSL,Month-to-Month,9,Phone and Internet,< 1 year,Non-Auto
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,3.800405954,22.23476189,One Line,Fiber Optic,Month-to-Month,4,Phone and Internet,< 1 year,Non-Auto
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98,1237.85,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,12.63112245,388.3904824,One Line,Fiber Optic,Month-to-Month,13,Phone and Internet,2 years,Non-Auto
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,3.187127533,32.47451221,One Line,Fiber Optic,Month-to-Month,3,Phone and Internet,< 1 year,Non-Auto
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,TRUE,FALSE,TRUE,TRUE,TRUE,2,8.234149856,7.930931461,One Line,DSL,Month-to-Month,8,Phone and Internet,< 1 year,Auto
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,72.05332726,124.4179334,One Line,Fiber Optic,2 Year,72,Phone and Internet,More than 5 years,Auto
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,63.52982871,761.5982371,Two or More Lines,Fiber Optic,2 Year,64,Phone and Internet,5 years,Auto
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,7.06120332,5.167031588,One Line,DSL,Month-to-Month,7,Phone and Internet,< 1 year,Non-Auto
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,65.86954118,109.4458881,Two or More Lines,DSL,2 Year,66,Phone and Internet,5 years,Non-Auto
